thumbnail,name,act,type,description,description_alt,notes,upload_type,upload_date,archive_date,link,file_dl,misc
chap1.png,Chapter 1: the house with the strange light,1,video_main,I've been here before...,,,Uploaded,1/30/2025,,https://www.youtube.com/watch?v=qInfHrXGxS4,,
tapeart.png,???????,1,video_side,,This is the tape.,"This video is, so far, completely unsolved.",Uploaded,2/2/2025,,https://www.youtube.com/watch?v=1lu7BP0HilA,,
chap2.png,Chapter 2: the abandoned car,1,video_main,some old fart called it in,,,Premiered,2/6/2025,,https://www.youtube.com/watch?v=4bgQkhQ39xs,,
chap3.png,Chapter 3: ....more coffee?,1,video_main,you do not wanna go out there. trust me.,,,Premiered,2/19/2025,,https://www.youtube.com/watch?v=4CO-vqxlG7w,,
mrpicklesjar.png,$$$ ORDER YOUR VERY OWN BRINE....TODAY!!!!,1,video_side,a r r i v e d to. my d.oor $ $,don’t order in two days.,,Premiered,2/27/2025,,https://www.youtube.com/watch?v=969m4hrOYNk,,
chap4.png,Chapter 4: soooo... i've got some news...,1,video_main,"...i know, ladybug... hailing again.",,,Premiered,3/6/2025,,https://www.youtube.com/watch?v=e52XFdM38uQ,,
chap5.png,Chapter 5: the Midnight Riddle Hour,1,video_main,your dad said he'd be home tomorrow night.,,,Premiered,3/17/2025,,https://www.youtube.com/watch?v=erBVB7xIgbc,,
shampoo.png,¿,2,video_side,h e  k n o w s  i t ' s  a l m o s t  e m p t y,he knows it’s almost empty.,,Premiered,3/24/2025,,https://www.youtube.com/watch?v=GX4GHAtnwzo&t=1s,,
chap6.png,Chapter 6: ....are there words?,2,video_main,"it's all about that log cabin, baby.",,,Premiered,4/2/2025,,https://www.youtube.com/watch?v=x2t7peDpq_w,,
yourpersonaldealguy.jpg,Your Personal Deal Guy,2,video_side,"call me, i'm your personal deal guy",,,Premiered,4/11/2025,,https://www.youtube.com/watch?v=eBA_oV_6Gko,,
NOBRINR.png,Voicemail (833-NO-BRINR),2,other,,,,Discovered,4/11/2025,,,call_recording.m4a,
chap7.png,Chapter 7: Majors,2,video_main,doubles do nothin.,,,Premiered,4/30/2025,,https://www.youtube.com/watch?v=4rjOvlAXOQs,,
warning.png,WARNING...SEVERE WEATHER ALERT IN EFFECT UNTIL 6AM,2,video_side,,,,Uploaded,5/2/2025,,https://www.youtube.com/watch?v=haA0trLKLAo,,
upupupup.png,Up... Up... Up!,2,video_side,NOT TO BE RELEASED. SCHEDULED FOR ARCHIVAL PURPOSES ONLY.,will i see him again?,,Premiered,5/21/2025,,https://www.youtube.com/watch?v=fJS-QJ6yeaU,,
chap8.png,Chapter 8: Brushes... with Genius,?,video_main,,and tonight’s special guest...,,Scheduled,TBA,,,,
chap9.png,Chapter 9,?,video_main,,more soon…,,Scheduled,TBA,,,,
tba.png,TBA,?,video_side,,more soon…,,Scheduled,TBA,,,,
chap10.png,Chapter 10,?,video_main,,more soon…,,Scheduled,TBA,,,,
web_rs_base.png,Reaching Spaces Site (V1),2,website,,,,Discovered,4/11/2025,4/29/2025,https://reachingspaces.org/yaddayadda.html,,
web_tompage.png,Reaching Spaces Site (V2 - Tom's Page),2,website,,,,Discovered,4/30/2025,5/18/2025,https://reachingspaces.org/oldtomroad.html,,
web_rs_base.png,Reaching Spaces Site (V3),2,website,,,,Discovered,5/19/2025,,https://reachingspaces.org/,,
web_havencountylogo.png,Haven County Library Website,2,website,,,,Discovered,5/20/2025,,https://havencountylibrary.org/,,
community1.gif,(Post #1) >$ _[< $÷÷# >/  >/ ×>)) %=[×,?,community_post,,,"Symbol Cipher translates to ""IF YOU FEED IT IT WILL GROW""",Uploaded,,,https://www.youtube.com/channel/UCslO7LXITNyRJxfFBranXjg/community?lb=UgkxlPCcPkYCsiQrvp2fP8FJ1_FDR0qSFxEy,,
community2.gif,"(Post #2) !=÷ _[< )>@/÷,>,%",?,community_post,,,"Symbol Cipher translates to ""ARE YOU LISTENING""",Uploaded,,,https://www.youtube.com/channel/UCslO7LXITNyRJxfFBranXjg/community?lb=UgkxnHbnKe6XYtUyMOml0evlI0UwjKxYAX_K,,
